,SEX,VEH,SEX_S,AGE_index,AGE_S_index,PINCP_index,PINCP_S_index
358,1,0,2,9,8,5,1
359,1,2,2,15,16,8,4
360,1,3,2,15,15,8,8
361,1,2,2,13,10,7,6
362,2,1,2,7,9,4,1
363,1,3,2,19,19,8,8
364,1,2,2,15,16,6,3
365,2,2,1,13,15,8,5
366,1,0,1,9,10,4,4
367,2,2,2,8,14,5,3
368,1,1,2,9,9,3,1
369,2,2,1,9,9,8,4
370,2,3,1,10,11,8,8
371,2,2,1,13,13,8,8
372,1,2,2,11,10,6,2
373,1,1,2,10,10,8,4
374,1,2,2,13,12,6,6
375,1,0,2,19,17,8,8
376,2,1,1,12,14,8,3
377,2,2,1,9,10,5,4
378,1,2,2,13,14,6,1
379,1,2,1,11,13,8,8
380,2,2,1,15,17,8,8
381,1,2,2,14,14,8,8
382,1,2,2,19,16,8,8
383,2,1,1,10,8,7,1
384,1,2,2,10,9,6,4
385,1,1,2,13,14,1,1
386,1,3,2,17,16,8,6
387,2,0,1,12,13,4,3
388,1,2,2,11,11,8,1
389,2,0,2,8,8,5,3
390,1,2,2,15,13,8,8
391,1,1,2,9,8,4,1
392,1,0,2,10,10,5,3
393,1,1,1,9,8,4,3
394,1,2,2,11,11,5,3
395,2,2,1,12,12,8,6
396,1,1,2,15,14,8,3
397,2,2,1,17,17,8,8
398,1,4,2,18,18,8,5
399,1,2,2,15,15,8,5
400,1,1,2,10,9,6,2
401,2,0,1,9,9,3,3
402,1,1,2,12,10,8,6
403,1,6,2,9,9,6,4
404,2,3,2,9,10,7,6
405,2,3,1,14,14,6,6
406,1,1,2,14,11,5,5
407,1,2,1,19,10,7,2
408,1,2,2,21,19,8,3
409,2,2,1,10,11,6,6
410,2,1,1,9,10,8,4
411,1,1,2,10,9,8,5
412,1,1,2,9,9,4,4
413,2,1,1,11,12,4,4
414,1,0,1,6,7,3,1
415,1,2,1,8,8,3,1
416,2,2,1,15,14,7,6
417,1,2,2,10,9,5,4
418,2,2,2,18,12,8,5
419,2,1,1,15,15,8,3
420,2,2,2,17,16,8,8
